Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Commercial Biomass,Commercial Density,Total Biomass,Total Biomass Density,Total Count,Total Density,Commercial Biomass Percentage
Winter 24/25,Andulay MPA,11.277777777777779,9.833333333333334,16.38888888888889,86.88888888888889,583.3888888888889,123.3762089615185,6.854233831195472,310.87869847033886,17.271038803907715,12740,707.7777777777778,39.68628586280894
Winter 24/25,Antulang,13.0,10.052631578947368,17.68421052631579,60.26315789473684,537.5263157894736,153.4864195306719,8.078232606877469,315.72367915170184,16.617035744826413,12132,638.5263157894736,48.61416158048865
Winter 24/25,Basak Can-Unsang MPA,16.0,10.25,5.5,83.0,517.9166666666666,164.18651664921808,13.682209720768173,443.1816726020303,36.93180605016919,7592,632.6666666666666,37.047226182716
Winter 24/25,Dalakit MPA,5.0,19.25,7.0,86.75,335.5,43.51237237286192,10.87809309321548,73.41745546338585,18.354363865846462,1814,453.5,59.267066800703894
Winter 24/25,Guinsuan MPA,10.333333333333334,14.0,11.583333333333334,70.0,425.8333333333333,146.41717364739588,12.20143113728299,236.88764675748493,19.740637229790412,6381,531.75,61.808699462193275
Winter 24/25,Kookoos,11.11111111111111,11.61111111111111,7.222222222222222,47.833333333333336,485.1666666666667,95.58785356067267,5.31043630892626,245.53041139941007,13.640578411078337,10133,562.9444444444445,38.931166618369595
Winter 24/25,Latason MPA,8.23076923076923,7.3076923076923075,8.0,16.53846153846154,319.6923076923077,16.913350899859836,1.3010269922969104,65.81863242591189,5.062971725070145,4677,359.7692307692308,25.69690416904087
Winter 24/25,Lutoban North MPA,10.833333333333334,14.0,9.722222222222221,85.38888888888889,428.77777777777777,102.19242742472927,5.677357079151626,271.0427373833419,15.057929854630105,9877,548.7222222222222,37.70343688648488
Winter 24/25,Lutoban Pier,8.526315789473685,6.894736842105263,7.368421052631579,76.0,410.5263157894737,96.71030806253798,5.090016213817788,238.17753115613115,12.535659534533218,9677,509.3157894736842,40.604295288938076
Winter 24/25,Lutoban South MPA,9.222222222222221,11.555555555555555,8.666666666666666,46.611111111111114,307.3888888888889,82.62660566715469,4.590366981508594,160.68764193176924,8.927091218431624,6902,383.44444444444446,51.420634887553696
Winter 24/25,Maluay Malatapay MPA,7.222222222222222,15.222222222222221,11.944444444444445,82.05555555555556,407.55555555555554,272.1275796468048,15.118198869266934,376.0151459620467,20.889730331224815,9432,524.0,72.37144103612043
Winter 24/25,Mojon MPA,7.5,11.75,18.75,174.25,475.75,34.577927759356285,8.644481939839071,85.16189090432306,21.290472726080765,2752,688.0,40.6025833764114
Winter 24/25,Salag MPA,11.944444444444445,14.222222222222221,4.277777777777778,77.27777777777777,491.44444444444446,165.59863263174879,9.199924035097155,262.45034063196044,14.580574479553357,10785,599.1666666666666,63.097130006766186
Winter 24/25,Santa Catalina Cawitan,11.0,18.5,6.5,23.0,52.5,2.750013797304492,1.375006898652246,6.109527800699236,3.054763900349618,223,111.5,45.011887776167455
